Keyword,Market,Location,Device,Regional Monthly Search Volume,Rank,"Result Types for Jan  1, 2017","Protocol for Jan  1, 2017","Ranking URL on Jan  1, 2017","Result Types for Sep  1, 2017","Protocol for Sep  1, 2017","Ranking URL on Sep  1, 2017",Tags
second keyword dataset,GB-en,,desktop,1900,1,,,,answers / list,http,www.autoexpress.co.uk/best-cars/98556/the-best-new-0-finance-car-deals,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,2,,,,organic,https,www.carwow.co.uk/best/cars-for-sale-with-0-per-cent-finance,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,3,,,,organic,http,www.autoexpress.co.uk/best-cars/98556/the-best-new-0-finance-car-deals,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,4,,,,organic,http,www.autoexpress.co.uk/best-cars/85381/best-new-car-deals-2017,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,5,,,,organic,https,www.toyota.co.uk/current-offers/index.json,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,6,,,,organic,http,www.interestfree4cars.com/,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,7,,,,organic,http,www.thisismoney.co.uk/money/cars/article-4271620/Seventeen-17-plate-cars-0-finance.html,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,8,,,,organic,http,www.stoneacre.co.uk/0-car-finance,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,9,,,,organic,http,www.carbuyer.co.uk/news/81264/best-new-car-deals-2017,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,10,,,,organic,http,www.hyundai.co.uk/offers,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,11,,,,organic,https,www.mazda.co.uk/aboutmazda/news/mazda-general-news/0-vat-and-0-apr-finance-on-many-new-mazda-cars/,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,12,,,,organic,https,www.uk-car-discount.co.uk/news/top-5-0-apr-interest-free-new-car-deals-2017,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,13,,,,organic,https,www.bristolstreet.co.uk/used-cars/5-years-0/,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,14,,,,organic,http,m.vauxhall.co.uk/offers/buyers-guide/finance-options/flexible-finance.html,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,15,,,,organic,https,www.motoringresearch.com/advice/buying-selling/10-great-0-apr-car-finance-deals-july-2017/,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,16,,,,organic,http,www.mirror.co.uk/money/truth-0-car-finance--10248571,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,17,,,,organic,http,www.parkers.co.uk/car-buying/2017/deal-watch/,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,18,,,,organic,http,www.mazda.co.uk/offers/offers-overview/,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,19,,,,organic,https,www.sandicliffe.co.uk/0-finance-used-cars-no-deposit,!permanent keywords / auto express / featured snippet
second keyword dataset,GB-en,,desktop,1900,20,,,,organic,http,www.skoda.co.uk/finance/finance-offers,!permanent keywords / auto express / featured snippet
